trip_id,stop_sequence,stop_id,arrival_time,departure_time
VJ1,1,891085000101,11:43:00,11:43:00
VJ1,2,891085000102,11:48:00,11:48:00
VJ1,4,891085000128,11:49:00,11:49:00
VJ1,5,891085000129,11:50:00,11:50:00
VJ1,6,891085000130,11:51:00,11:51:00
VJ1,7,891085000131,11:52:00,11:52:00
VJ1,8,891085000132,11:53:00,11:53:00
VJ1,9,891085000133,11:53:00,11:53:00
VJ1,10,891085000134,11:54:00,11:54:00
VJ1,11,891085000153,11:55:00,11:55:00
VJ1,12,891085020121,11:55:00,11:55:00
VJ1,13,891085000151,11:56:00,11:56:00
VJ1,14,891085000151,11:56:00,11:56:00
VJ1,15,891085000156,11:57:00,11:57:00
VJ1,16,891085000158,11:57:00,11:57:00
VJ1,17,891085000159,11:58:00,11:58:00
VJ1,18,891085000166,11:59:00,11:59:00
VJ1,19,891085003223,12:00:00,12:00:00
VJ1,20,891085003225,12:01:00,12:01:00
VJ1,24,891085003207,12:03:00,12:03:00
VJ1,25,891085003209,12:04:00,12:04:00
VJ1,26,891085013702,12:05:00,12:05:00
VJ1,27,891085013703,12:06:00,12:06:00
VJ1,28,891085013704,12:07:00,12:07:00
VJ1,29,891085013705,12:07:00,12:07:00
VJ1,30,891085013818,12:09:00,12:09:00
VJ1,31,891085013815,12:10:00,12:10:00
VJ1,32,891085013814,12:10:00,12:10:00
VJ1,33,891085013204,12:12:00,12:12:00
VJ1,34,891085013310,12:13:00,12:13:00
VJ1,35,891085013308,12:13:00,12:13:00
VJ1,36,891085013306,12:14:00,12:14:00
VJ1,37,891085013304,12:14:00,12:14:00
VJ1,38,891085013302,12:15:00,12:15:00
VJ1,39,891085003226,12:16:00,12:16:00
VJ1,40,891085003213,12:16:00,12:16:00
VJ1,41,891085003215,12:17:00,12:17:00
VJ1,42,891085003217,12:17:00,12:17:00
VJ1,43,891085003219,12:18:00,12:18:00
VJ1,44,891085003221,12:18:00,12:18:00
VJ1,45,891085003208,12:20:00,12:20:00
VJ1,46,891085003224,12:21:00,12:21:00
VJ1,47,891085003222,12:22:00,12:22:00
VJ1,51,891085020150,12:24:00,12:24:00
VJ1,52,891085020149,12:25:00,12:25:00
VJ1,53,891085020148,12:25:00,12:25:00
VJ1,54,891085020147,12:26:00,12:26:00
VJ1,55,891085020151,12:26:00,12:26:00
VJ1,56,891085020152,12:27:00,12:27:00
VJ1,57,891085000125,12:28:00,12:28:00
VJ1,58,891085020145,12:30:00,12:30:00
VJ1,59,891085020125,12:31:00,12:31:00
VJ1,60,891085020126,12:32:00,12:32:00
VJ1,61,891085020127,12:32:00,12:32:00
VJ1,62,891085020128,12:33:00,12:33:00
VJ1,63,891085020129,12:34:00,12:34:00
VJ1,64,891085020107,12:36:00,12:36:00
VJ1,65,891085020108,12:38:00,12:38:00
VJ1,66,891085020164,12:39:00,12:39:00
VJ1,67,891085000102,12:40:00,12:40:00
VJ2,1,891085000101,13:43:00,13:43:00
VJ2,2,891085000102,13:48:00,13:48:00
VJ2,4,891085000128,13:49:00,13:49:00
VJ2,5,891085000129,13:50:00,13:50:00
VJ2,6,891085000130,13:51:00,13:51:00
VJ2,7,891085000131,13:52:00,13:52:00
VJ2,8,891085000132,13:53:00,13:53:00
VJ2,9,891085000133,13:53:00,13:53:00
VJ2,10,891085000134,13:54:00,13:54:00
VJ2,11,891085000153,13:55:00,13:55:00
VJ2,12,891085020121,13:55:00,13:55:00
VJ2,13,891085000151,13:56:00,13:56:00
VJ2,14,891085000151,13:56:00,13:56:00
VJ2,15,891085000156,13:57:00,13:57:00
VJ2,16,891085000158,13:57:00,13:57:00
VJ2,17,891085000159,13:58:00,13:58:00
VJ2,18,891085000166,13:59:00,13:59:00
VJ2,19,891085003223,14:00:00,14:00:00
VJ2,20,891085003225,14:01:00,14:01:00
VJ2,24,891085003207,14:03:00,14:03:00
VJ2,25,891085003209,14:04:00,14:04:00
VJ2,26,891085013702,14:05:00,14:05:00
VJ2,27,891085013703,14:06:00,14:06:00
VJ2,28,891085013704,14:07:00,14:07:00
VJ2,29,891085013705,14:07:00,14:07:00
VJ2,30,891085013818,14:09:00,14:09:00
VJ2,31,891085013815,14:10:00,14:10:00
VJ2,32,891085013814,14:10:00,14:10:00
VJ2,33,891085013204,14:12:00,14:12:00
VJ2,34,891085013310,14:13:00,14:13:00
VJ2,35,891085013308,14:13:00,14:13:00
VJ2,36,891085013306,14:14:00,14:14:00
VJ2,37,891085013304,14:14:00,14:14:00
VJ2,38,891085013302,14:15:00,14:15:00
VJ2,39,891085003226,14:16:00,14:16:00
VJ2,40,891085003213,14:16:00,14:16:00
VJ2,41,891085003215,14:17:00,14:17:00
VJ2,42,891085003217,14:17:00,14:17:00
VJ2,43,891085003219,14:18:00,14:18:00
VJ2,44,891085003221,14:18:00,14:18:00
VJ2,45,891085003208,14:20:00,14:20:00
VJ2,46,891085003224,14:21:00,14:21:00
VJ2,47,891085003222,14:22:00,14:22:00
VJ2,51,891085020150,14:24:00,14:24:00
VJ2,52,891085020149,14:25:00,14:25:00
VJ2,53,891085020148,14:25:00,14:25:00
VJ2,54,891085020147,14:26:00,14:26:00
VJ2,55,891085020151,14:26:00,14:26:00
VJ2,56,891085020152,14:27:00,14:27:00
VJ2,57,891085000125,14:28:00,14:28:00
VJ2,58,891085020145,14:30:00,14:30:00
VJ2,59,891085020125,14:31:00,14:31:00
VJ2,60,891085020126,14:32:00,14:32:00
VJ2,61,891085020127,14:32:00,14:32:00
VJ2,62,891085020128,14:33:00,14:33:00
VJ2,63,891085020129,14:34:00,14:34:00
VJ2,64,891085020107,14:36:00,14:36:00
VJ2,65,891085020108,14:38:00,14:38:00
VJ2,66,891085020164,14:39:00,14:39:00
VJ2,67,891085000102,14:40:00,14:40:00
VJ3,1,891085000101,11:43:00,11:43:00
VJ3,2,891085000102,11:48:00,11:48:00
VJ3,4,891085000128,11:49:00,11:49:00
VJ3,5,891085000129,11:50:00,11:50:00
VJ3,6,891085000130,11:51:00,11:51:00
VJ3,7,891085000131,11:52:00,11:52:00
VJ3,8,891085000132,11:53:00,11:53:00
VJ3,9,891085000133,11:53:00,11:53:00
VJ3,10,891085000134,11:54:00,11:54:00
VJ3,11,891085000153,11:55:00,11:55:00
VJ3,12,891085020121,11:55:00,11:55:00
VJ3,13,891085000151,11:56:00,11:56:00
VJ3,14,891085000151,11:56:00,11:56:00
VJ3,15,891085000156,11:57:00,11:57:00
VJ3,16,891085000158,11:57:00,11:57:00
VJ3,17,891085000159,11:58:00,11:58:00
VJ3,18,891085000166,11:59:00,11:59:00
VJ3,19,891085003223,12:00:00,12:00:00
