Stop No,NaPTAN,Latitude,Longitude,,
00101,891085000101,54.14761003,-4.48579205,,
00102,891085000102,54.14829532,-4.47701803,,
00104,891085000104,54.14829532,-4.47701803,,
00108,891085000108,54.14988836,-4.47717415,,
00109,891085000109,54.14820652,-4.48205335,,
00110,891085000110,54.14800016,-4.48417791,,
00111,891085000111,54.14952541,-4.48993874,,
00112,891085000112,54.15012248,-4.49418845,,
00113,891085000113,54.15167871,-4.49911023,,
00114,891085000114,54.15475762,-4.50115339,,
00115,891085000115,54.149222,-4.477004,,
00117,891085000117,54.15274684,-4.47837338,,
00118,891085000118,54.15499342,-4.47840031,,
00119,891085000119,54.15842245,-4.47610654,,
00120,891085000120,54.16026905,-4.47441984,,
00121,891085000121,54.16275925,-4.47095728,,
00122,891085000122,54.16474855,-4.46769522,,
00123,891085000123,54.16611469,-4.46522262,,
00124,891085000124,54.16701181,-4.46085758,,
00125,891085000125,54.15859503,-4.47979895,,
00126,891085000126,54.16102294,-4.48212098,,
00127,891085000127,54.16453583,-4.4837227,,
00128,891085000128,54.14863819,-4.48058054,,
00129,891085000129,54.15025876,-4.48107583,,
00130,891085000130,54.15188888,-4.4834448,,
00131,891085000131,54.15430445,-4.48481923,,
00132,891085000132,54.15673189,-4.48586216,,
00133,891085000133,54.15788381,-4.48666158,,
00134,891085000134,54.16058351,-4.48530728,,
00135,891085000135,54.16267873,-4.48353314,,
00136,891085000136,54.1510257,-4.48714484,,
00137,891085000137,54.15179136,-4.48957705,,
00138,891085000138,54.15520135,-4.48803786,,
00139,891085000139,54.15610012,-4.48931884,,
00140,891085000140,54.15577662,-4.49213227,,
00141,891085000141,54.15530003,-4.49391405,,
00142,891085000142,54.15509004,-4.4961211,,
00143,891085000143,54.15495303,-4.49956613,,
00144,891085000144,54.15587286,-4.49654763,,
00145,891085000145,54.15648235,-4.49411567,,
00148,891085000148,54.15053793,-4.48377724,,
00149,891085000149,54.15868006,-4.48879334,,
00150,891085000150,54.15375043,-4.48724732,,
00151,891085000151,54.1586366,-4.47896324,,
00152,891085000152,54.16033607,-4.47749979,,
00153,891085000153,54.1605555,-4.4824375,,
00154,891085000154,54.16160644,-4.481041,,
00155,891085000155,54.1626766,-4.4791687,,
00156,891085000156,54.16300007,-4.47605737,,
00157,891085000157,54.16401947,-4.47425385,,
00158,891085000158,54.16452187,-4.47364761,,
00159,891085000159,54.16682222,-4.47067848,,
00160,891085000160,54.16655643,-4.48114044,,
00161,891085000161,54.16859417,-4.47676483,,
00162,891085000162,54.16920343,-4.47505044,,
00163,891085000163,54.17012518,-4.47252466,,
00164,891085000164,54.17061024,-4.47133948,,
00165,891085000165,54.14688939,-4.48438962,,
00166,891085000166,54.17069916,-4.46897675,,
00167,891085000167,54.14949623,-4.48599135,,
00168,891085000168,54.15321081,-4.48878928,,
00169,891085000169,54.15001925,-4.50148202,,
00203,891085000203,54.15021863,-4.50294054,,
00204,891085000204,54.15035066,-4.50281267,,
00205,891085000205,54.1520894,-4.50522553,,
00206,891085000206,54.15209348,-4.50473537,,
00207,891085000207,54.15309935,-4.50795812,,
00208,891085000208,54.15287483,-4.50721749,,
00209,891085000209,54.15197455,-4.51124282,,
00210,891085000210,54.15280364,-4.51009013,,
00211,891085000211,54.15113409,-4.51027193,,
00213,891085000213,54.15114,-4.51005,,
00301,891085000301,54.14126103,-4.53939678,,
00302,891085000302,54.14127749,-4.54164125,,
00303,891085000303,54.13995207,-4.54741609,,
00304,891085000304,54.137643,-4.55617295,,
00305,891085000305,54.13732466,-4.55688347,,
00306,891085000306,54.13509279,-4.56233031,,
00307,891085000307,54.13518406,-4.56186472,,
00308,891085000308,54.13118517,-4.56612859,,
00309,891085000309,54.13081356,-4.56616439,,
00310,891085000310,54.123844,-4.57387916,,
00311,891085000311,54.12378698,-4.57364498,,
00312,891085000312,54.12121021,-4.5795382,,
00313,891085000313,54.12109367,-4.57949759,,
00314,891085000314,54.11789211,-4.58860308,,
00315,891085000315,54.11894757,-4.5857894,,
00401,891085000401,54.10110517,-4.62004756,,
00402,891085000402,54.1008967,-4.62095468,,
00403,891085000403,54.09944316,-4.62473403,,
00404,891085000404,54.09950921,-4.6247974,,
00405,891085000405,54.09791207,-4.62913979,,
00406,891085000406,54.0983187,-4.62835422,,
00407,891085000407,54.09671252,-4.6298577,,
00408,891085000408,54.0959631,-4.62974174,,
00409,891085000409,54.09418783,-4.63000224,,
00410,891085000410,54.09450765,-4.62987352,,
00411,891085000411,54.09829775,-4.63216085,,
00412,891085000412,54.09841839,-4.63217355,,
00413,891085000413,54.09509535,-4.64634451,,
00414,891085000414,54.09517619,-4.64649053,,
00415,891085000415,54.10503172,-4.64205443,,
00416,891085000416,54.10505054,-4.64219193,,
00417,891085000417,54.09626,-4.62523,,
00418,891085000418,54.0964,-4.62491,,
00501,891085000501,54.08896523,-4.63247221,,
00502,891085000502,54.08896523,-4.63247221,,
00503,891085000503,54.08672531,-4.63478189,,
00504,891085000504,54.08672531,-4.63478189,,
00601,891085000601,54.08230039,-4.64040601,,
00602,891085000602,54.08233661,-4.64050479,,
00603,891085000603,54.08067112,-4.64217932,,
00604,891085000604,54.08112248,-4.6418458,,
00605,891085000605,54.07921218,-4.64377696,,
00606,891085000606,54.07909854,-4.64410426,,
00607,891085000607,54.07805477,-4.64608947,,
00608,891085000608,54.07816577,-4.64606198,,
00609,891085000609,54.07778849,-4.64914188,,
00610,891085000610,54.07791869,-4.64906394,,
00611,891085000611,54.07692676,-4.65082648,,
00612,891085000612,54.07681843,-4.6510706,,
00613,891085000613,54.07527203,-4.65235219,,
00614,891085000614,54.07527587,-4.65247153,,
00615,891085000615,54.07315099,-4.65309805,,
00616,891085000616,54.07296383,-4.65323944,,
00617,891085000617,54.0738728,-4.65812946,,
00618,891085000618,54.07379617,-4.65662197,,
00619,891085000619,54.07548251,-4.6609998,,
00620,891085000620,54.0750419,-4.65957307,,
00621,891085000621,54.07693812,-4.663056,,
00622,891085000622,54.0777661,-4.66328944,,
00623,891085000623,54.07809438,-4.66416803,,
00701,891085000701,54.0837282,-4.67455313,,
00702,891085000702,54.08364127,-4.6744194,,
00703,891085000703,54.09260393,-4.67513814,,
00704,891085000704,54.09209182,-4.67527586,,
00705,891085000705,54.0976938,-4.6768433,,
00706,891085000706,54.09693193,-4.67578545,,
